107				
6000	1	0	0	0
7680	0	0	0	1
9360	0	1	0	0
11040	0	0	1	0
12720	1	0	0	0
14400	0	0	0	1
16080	0	1	1	0
17760	0	0	0	0
19440	0	0	0	1
21120	0	0	1	0
22800	0	1	0	0
24480	1	0	0	0
26160	1	0	0	1
27840	0	1	1	0
29520	1	0	0	1
30000	0	0	0	0
30840	1	0	0	0
31680	0	1	0	0
32520	1	0	0	0
33000	1	0	0	0
33480	1	1	0	0
33960	0	0	1	0
34440	0	0	0	1
34920	0	0	1	0
35400	0	1	0	0
35880	0	1	0	0
36360	1	0	1	0
36840	0	1	0	0
37320	1	0	1	0
37800	0	1	0	0
38280	1	0	1	0
38760	0	1	0	0
39240	0	0	1	0
39720	1	0	0	0
40200	1	0	1	0
40680	0	0	0	1
41160	0	0	0	1
41640	0	0	1	0
42120	1	0	0	0
42600	0	1	0	0
43080	0	1	0	0
43560	0	0	1	0
44040	0	0	1	0
44520	0	1	0	0
45000	1	0	0	0
45480	0	0	1	0
45960	1	0	0	0
46440	0	0	0	0
46920	0	1	1	0
47400	0	0	0	0
47880	0	1	0	1
48360	0	0	0	0
48840	0	0	0	0
49320	0	0	1	0
49800	1	0	0	1
50280	1	0	0	1
50760	1	0	0	1
51240	0	1	1	0
51720	0	0	1	0
52200	0	0	1	0
52680	0	0	1	0
53160	0	1	0	1
53640	0	0	1	0
54120	1	0	0	0
54600	0	1	0	0
55080	1	0	0	0
55560	1	0	0	0
56040	1	0	0	0
56520	1	0	0	0
57000	1	0	0	0
57480	0	1	0	0
57960	0	1	0	0
58440	0	1	0	0
58920	0	1	0	0
59400	0	0	1	0
59880	0	0	1	0
60360	0	0	1	0
60840	0	0	1	0
61320	0	0	0	1
61800	0	0	0	1
62280	0	0	0	1
62760	0	0	0	1
63240	1	0	1	0
63720	0	1	0	1
64200	1	0	0	0
64680	0	1	0	0
65160	0	1	0	0
65640	1	0	0	0
66120	0	0	1	0
66600	1	0	0	1
67080	1	0	0	1
67560	1	0	0	1
68040	0	1	0	0
68520	0	0	0	0
69000	0	0	0	1
69480	1	0	1	0
69960	0	1	0	0
70440	0	1	0	0
70920	0	0	1	0
71400	0	0	1	0
71880	1	0	1	0
72360	0	1	0	1
72840	0	0	0	1
73320	0	0	0	1
73800	0	0	1	0
74280	0	0	1	0
74760	0	1	0	0
